176.63.30.182	07/Apr/2019	volner janos		0	0	0
176.63.30.182	07/Apr/2019	volner janos		0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019			0	0	0
176.63.30.182	07/Apr/2019	volner		0	0	0
176.63.30.182	07/Apr/2019	volner		0	0	0
176.63.30.182	07/Apr/2019	kepes		0	0	0
176.63.30.182	07/Apr/2019	kepes		0	0	0
176.63.30.182	07/Apr/2019	orban		0	0	0
176.63.30.182	07/Apr/2019	orban		0	0	0
176.63.30.182	07/Apr/2019	takarodj		0	0	0
176.63.30.182	07/Apr/2019	takarodj		0	0	0
213.229.183.42	09/Apr/2019			0	0	1
213.229.183.42	09/Apr/2019			0	0	1
213.229.183.42	09/Apr/2019			0	0	1
213.229.183.42	09/Apr/2019			0	0	1
213.229.183.42	09/Apr/2019	gyöngyöspata		0	0	1
213.229.183.42	09/Apr/2019	gyöngyöspata		0	0	1
213.229.183.42	09/Apr/2019	gyöngyös		0	0	1
213.229.183.42	09/Apr/2019	gyöngyös		0	0	1
213.229.183.42	09/Apr/2019			0	0	1
213.229.183.42	09/Apr/2019			0	0	1
91.82.219.50	09/Apr/2019			0	0	0
91.82.219.50	09/Apr/2019			0	0	0
91.82.219.50	09/Apr/2019	korrupció		0	0	0
91.82.219.50	09/Apr/2019	korrupció		0	0	0
91.82.219.50	09/Apr/2019	korrupció		0	0	0
91.82.219.50	09/Apr/2019			0	0	0
195.56.119.18	10/Apr/2019			0	0	0
195.56.119.18	10/Apr/2019			0	0	0
195.56.119.18	10/Apr/2019	emberi jogok		0	0	0
195.56.119.18	10/Apr/2019	emberi jogok		0	0	0
90.174.2.105	10/Apr/2019			0	0	0
90.174.2.105	10/Apr/2019			0	0	0
213.229.183.42	17/Apr/2019			0	0	1
213.229.183.42	17/Apr/2019			0	0	1
213.229.183.42	17/Apr/2019	emberi jogok		0	0	1
213.229.183.42	17/Apr/2019			0	0	1
213.229.183.42	17/Apr/2019			0	0	1
185.244.212.195	17/Apr/2019	volner janos		1	0	0
185.244.212.195	17/Apr/2019	volner janos		1	0	0
185.216.34.222	17/Apr/2019			0	0	0
185.216.34.222	17/Apr/2019			0	0	0
185.216.34.222	17/Apr/2019			0	0	0
185.216.34.222	17/Apr/2019			0	0	0
185.216.34.222	17/Apr/2019			0	0	0
185.216.34.222	17/Apr/2019	ligeti miklós		0	0	0
185.216.34.222	17/Apr/2019	ligeti miklós		0	0	0
185.216.34.222	17/Apr/2019	transparency		0	0	0
185.216.34.222	17/Apr/2019	transparency		0	0	0
35.192.136.167	18/Apr/2019			0	0	0
35.192.136.167	18/Apr/2019			0	0	0
104.154.113.151	18/Apr/2019			0	0	0
35.188.73.34	18/Apr/2019			0	0	0
104.154.113.151	18/Apr/2019			0	0	0
104.154.113.151	18/Apr/2019			0	0	0
35.188.73.34	18/Apr/2019			0	0	0
35.192.187.174	18/Apr/2019			0	0	0
35.192.187.174	18/Apr/2019			0	0	0
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
213.229.183.42	18/Apr/2019			0	0	1
94.21.195.86	19/Apr/2019			0	0	0
94.21.195.86	19/Apr/2019			0	0	0
66.249.66.213	20/Apr/2019			0	1	0
66.249.66.215	20/Apr/2019			0	1	0
66.249.66.215	20/Apr/2019			0	1	0
66.249.66.215	20/Apr/2019			0	1	0
176.63.31.58	28/Apr/2019			0	0	0
176.63.31.58	28/Apr/2019			0	0	0
23.97.249.36	28/Apr/2019			0	0	0
176.63.31.58	28/Apr/2019			0	0	0
176.63.31.58	28/Apr/2019			0	0	0
176.63.31.58	28/Apr/2019			0	0	0
176.63.31.58	28/Apr/2019			0	0	0
176.63.31.58	28/Apr/2019			0	0	0
66.249.69.181	29/Apr/2019			0	1	0
93.190.1.154	29/Apr/2019			0	0	0
93.190.1.154	29/Apr/2019			0	0	0
93.190.1.154	29/Apr/2019			0	0	0
93.190.1.154	29/Apr/2019			0	0	0
93.190.1.154	29/Apr/2019	trianon		0	0	0
93.190.1.154	29/Apr/2019	trianon		0	0	0
93.190.1.154	29/Apr/2019	budapest		0	0	0
93.190.1.154	29/Apr/2019	budapest		0	0	0
93.190.1.154	29/Apr/2019	adótartozás		0	0	0
93.190.1.154	29/Apr/2019	adótartozás		0	0	0
93.190.1.154	29/Apr/2019	adótartozás		0	0	0
93.190.1.154	29/Apr/2019	magyar		0	0	0
93.190.1.154	29/Apr/2019	magyar		0	0	0
93.190.1.154	29/Apr/2019	adótartozás		0	0	0
93.190.1.154	29/Apr/2019	magyar		0	0	0
93.190.1.154	29/Apr/2019	adótartozás		0	0	0
93.190.1.154	29/Apr/2019	adótartozás		0	0	0
93.190.1.154	29/Apr/2019	budapest		0	0	0
